"file","role","risk_level","issue_types","evidence","recommended_action","migration_phase","remediation_owner"
"pos-tauri\src-tauri\Cargo.toml","support","low","unused_plugin_dependencies_removed","removed unused shell/dialog/notification/clipboard/process plugin crates from runtime dependency surface","refactor","phase-5","pos-tauri-core"
"pos-tauri\src-tauri\icons\128x128.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\icons\128x128@2x.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\icons\32x32.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\icons\icon.icns","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\icons\icon.ico","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\api.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src-tauri\\src\\auth.rs","rust-backend","high","lockout_persistence","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src-tauri\src\db.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\diagnostics.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\commands\diagnostics.rs","support","medium","diagnostics_export_open_dir_policy","added app-data-bound diagnostics export directory open command with canonical path validation and native OS folder open","refactor","phase-5","pos-tauri-core"
"pos-tauri\src-tauri\src\commands\menu.rs","support","medium","renderer_polling_orchestration_migrated","added native menu-version monitor loop emitting `menu_version_checked` and `menu_sync` events from Rust background worker","refactor","phase-5","pos-tauri-core"
"pos-tauri\src-tauri\src\drawer.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\escpos.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src-tauri\\src\\lib.rs","rust-backend","high","secret_mirroring_command_surface;background_worker_bootstrap","app bootstrap now starts native menu-version monitor worker alongside sync/print/health monitors","refactor","phase-5","pos-tauri-core"
"pos-tauri\src-tauri\src\main.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\menu.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src-tauri\\src\\payments.rs","rust-backend","critical","stored_xss","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src-tauri\src\print.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src-tauri\\src\\printers.rs","rust-backend","critical","command_injection_surface","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src-tauri\src\refunds.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\shifts.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\storage.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\sync.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\src\zreport.rs","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src-tauri\tauri.conf.json","support","low","plugin_surface_reduction","removed shell plugin open config after migrating diagnostics folder open to native command path","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\App.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\config\environment.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\config\payment-config.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\css.d.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\index.css","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\lib\electron-compat.ts","decommissioned","low","native_only_cutover","deleted in native-only runtime cutover","delete","phase-8","pos-tauri-core"
"pos-tauri\src\lib\event-bridge.ts","support","low","event_contract_extension","added `menu_version_checked` -> `menu:version-checked` mapping for native menu monitor events","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\lib\i18n.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\lib\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\lib\ipc-contracts.ts","support","low","typed_diagnostics_contract","added typed diagnostics export-directory response contract for bridge migration","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\lib\ipc-adapter.ts","support","low","typed_diagnostics_open_export_dir","added typed diagnostics open-export-dir bridge mapping and namespace method","refactor","phase-5","pos-tauri-core"
"pos-tauri\src\lib\platform-detect.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\locales\el.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\locales\en.json","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\main.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\main\database.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\preload\index.ts","decommissioned","low","native_only_cutover","deleted in native-only runtime cutover","delete","phase-8","pos-tauri-core"
"pos-tauri\\src\\preload\\ipc-security.ts","decommissioned","medium","native_only_cutover","deleted with preload removal; replaced by native runtime guard scripts","delete","phase-8","pos-tauri-core"
"pos-tauri\src\renderer\App.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\logo-black.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\logo-white.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\airbnb.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\booking.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\box.jpg","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\box.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\efood.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\expedia.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\google_analytics.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\mydata.jpg","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\shopify.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\stripe.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\tripadvisor.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\uber_eats.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\viva.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\wolt.jpg","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\wolt.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\assets\plugins\woocommerce.png","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\AnimatedBackground.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\auth\PINLoginModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\BulkActionsBar.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\common\LoadingSpinner.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\CustomerInfoForm.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\CustomTitleBar.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\DashboardCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\dashboards\BusinessCategoryDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\dashboards\FoodDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\dashboards\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\dashboards\ProductDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\dashboards\ServiceDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\delivery\DeliveryValidationComponent.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\delivery\ZoneValidationAlert.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\DriverDiagnostic.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\PaymentDialog.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\PaymentTerminalsSection.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\TerminalCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\TerminalCardCompact.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\TerminalConfigModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\TerminalDiscoveryModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ecr\TerminalStatusIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\error\ErrorBoundary.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\error\ErrorDisplay.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\error\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\FinancialSyncPanel.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\forms\AddressSelectionCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\forms\CustomerDetailsForm.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\forms\OrderTypeSelector.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\FullscreenAwareLayout.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\CartSummary.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\ComboCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\ComboChoiceModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuCart.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuCategoryTabs.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuGrid.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuItemCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuItemGrid.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\menu\MenuItemModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\AddCustomerModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\AddNewAddressModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\\src\\renderer\\components\\modals\\ConnectionSettingsModal.tsx","renderer","high","legacy_plaintext_pin","see Audit Report","refactor","phase-1","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\CustomerInfoModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\CustomerOrderHistoryModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\CustomerSearchModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\DriverAssignmentModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\EditAddressModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\EditCustomerInfoModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\EditOptionsModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\EditOrderItemsModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\ExpenseModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\MenuModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\OrderCancellationModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\OrderDetailsModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\PaymentModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\PrinterSettingsModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\PrintPreviewModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\ProductCatalogModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\RefundVoidModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\StaffShiftModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\UpgradePromptModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modals\ZReportModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modules\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modules\LockedFeatureScreen.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modules\ModuleUpsellCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\modules\TrialModulePrompt.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\NavigationSidebar.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\order\OrderActions.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\order\OrderApprovalPanel.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\order\OrderCard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\order\OrderRoutingBadge.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\order\OrderStatusControls.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderConflictBanner.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderFlow.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderGrid.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderModals.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderSyncRouteIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\OrderTabsBar.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\pricing\SimplePricingModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\RefactoredMainLayout.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\reports\ReportCharts.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ShiftManager.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\skeletons\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\skeletons\MenuPageSkeleton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\skeletons\NewOrderPageSkeleton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\skeletons\OrderDashboardSkeleton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\SyncNotificationManager.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\SyncStatusIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\index.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\ReservationForm.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\ReservationInfoPanel.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TableActionModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TablesDashboard.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\tables\TableSelector.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\TerminalTypeIndicator.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ThemeSwitcher.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ThemeToggle.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ConfirmDialog.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ContentContainer.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ErrorAlert.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\FadeInAnimation.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\FloatingActionButton.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\LoadingSpinner.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\OptimizedImg.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\pos-glass-components.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\POSGlassTooltip.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\ProgressStepper.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\PulseAnimation.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\SkeletonLoader.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\ui\VarianceBadge.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\UpdateDialog.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateNotification.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateProgressModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateReadyModal.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\components\updates\UpdateToast.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\barcode-scanner-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\i18n-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\module-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\navigation-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\shift-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\contexts\theme-context.tsx","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAcquiredModules.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useActiveDrivers.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAppEvents.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAppointments.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useAutoUpdater.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useBarcodeScanner.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useBranchMenu.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useCustomerLookup.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDeliveryValidation.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDiscountSettings.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
"pos-tauri\src\renderer\hooks\useDriveThru.ts","support","low","none","see Audit Report","retain","phase-2","pos-tauri-core"
